role_label,count,mean,std,min,25%,50%,75%,max
ARG0,316.0,4.018987341772152,1.0865499147759277,0.0,4.0,4.0,5.0,5.0
ARG1,416.0,4.53125,1.0055194066294464,0.0,4.0,5.0,5.0,5.0
ARG2,82.0,4.365853658536586,1.3472623831077115,0.0,4.0,5.0,5.0,5.0
ARG3,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
ARG4,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
ARGM-ADV,80.0,2.4,1.6504698218723637,0.0,1.0,2.0,4.0,5.0
ARGM-CAU,12.0,2.5,2.0670576365276494,0.0,1.0,2.0,5.0,5.0
ARGM-DIR,7.0,2.4285714285714284,2.439750182371333,0.0,0.5,1.0,5.0,5.0
ARGM-EXT,9.0,3.5555555555555554,1.740051084818425,1.0,2.0,4.0,5.0,5.0
ARGM-LOC,16.0,3.625,1.746424919657298,0.0,2.75,4.5,5.0,5.0
ARGM-MNR,28.0,4.535714285714286,1.1379690439434391,0.0,5.0,5.0,5.0,5.0
ARGM-PNC,3.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
ARGM-PRP,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
ARGM-TMP,65.0,4.030769230769231,1.4786948507175044,0.0,3.0,5.0,5.0,5.0
V,472.0,2.1991525423728815,1.3985734778193677,0.0,1.0,2.0,3.0,5.0
